image_url,landing_page,width,height,aspect_ratio,display_rule,geo_location,geo_implementation,deprecated_geo_tag
https://corneliusaurelius.com/assets/images/about-cornelius-aurelius.png,https://corneliusaurelius.com/about/,592,736,0.8043,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/cornelius-aurelius-ebook-library.png,https://corneliusaurelius.com/books/,1080,1350,0.8,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/cornelius-aurelius-concepts-and-ideas.jpg,https://corneliusaurelius.com/projects/concepts/,1080,1350,0.8,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/colour-blindness-in-football.png,https://corneliusaurelius.com/sport/football/,1080,1350,0.8,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/omniscientrix-laws.png,https://corneliusaurelius.com/research/omniscientrix/,1080,1350,0.8,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/cornelius-aurelius-profile-photo.jpg,https://corneliusaurelius.com/,864,1536,0.5625,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/cornelius-aurelius-with-paintings.jpg,https://corneliusaurelius.com/creative/paintings/,960,799,1.2015,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/cornelius-aurelius-piano-contact-sheet.jpg,https://corneliusaurelius.com/creative/music/piano/,1590,936,1.6987,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/cornelius-aurelius-drums-contact-sheet.jpg,https://corneliusaurelius.com/creative/music/drums/,1590,936,1.6987,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/cornelius-aurelius-football-contact-sheet.jpg,https://corneliusaurelius.com/sport/football/,1590,936,1.6987,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/cornelius-aurelius-fitness-contact-sheet.jpg,https://corneliusaurelius.com/sport/fitness/,1590,936,1.6987,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
https://corneliusaurelius.com/assets/images/kronatrix-logo.png,https://corneliusaurelius.com/business/kronatrix/,320,320,1.0,natural intrinsic ratio; width 100%; height auto; no crop,NOT SUPPLIED,No geographic claim added. Add schema.org contentLocation only after factual location is confirmed.,Do not use image:geo_location in sitemap
